Symbol,is_valid,Series,ClosePrice28112022,ClosePrice29112022,ClosePrice30112022,TotalTradedQuantity28112022,TotalTradedQuantity29112022,TotalTradedQuantity30112022,TurnoverInLacs28112022,TurnoverInLacs29112022,TurnoverInLacs30112022,DeliveryQuantity28112022,DeliveryQuantity29112022,DeliveryQuantity30112022,DeliveryPercentage28112022,DeliveryPercentage29112022,DeliveryPercentage30112022
ADANIPORTS,1, EQ,878.6,878.2,881.0,4168244,3663099,3797377,36678.51,32328.94,33409.08,1399143,699702,1455927,33.57,19.1,38.34
APOLLOHOSP,1, EQ,4721.85,4719.2,4726.4,598162,910558,1113421,28222.61,43448.69,52280.12,178426,283428,559346,29.83,31.13,50.24
ASIANPAINT,1, EQ,3151.2,3135.05,3175.15,914689,877720,2547283,28725.28,27591.59,80733.64,419939,488650,1636650,45.91,55.67,64.25
AXISBANK,1, EQ,891.7,892.55,901.25,7928147,5661158,10452798,70844.9,50750.2,93719.82,5343792,3795568,7171487,67.4,67.05,68.61
BAJAJ-AUTO,1, EQ,3676.7,3660.1,3750.7,185431,134922,1267676,6828.06,4955.29,47419.29,54530,63470,625441,29.41,47.04,49.34
BAJAJFINSV,1, EQ,1652.85,1632.0,1626.5,2005182,1346735,2900845,33124.48,22057.19,47242.56,1177266,693387,2162525,58.71,51.49,74.55
BAJFINANCE,1, EQ,6777.45,6734.15,6720.95,604054,681860,1482831,41017.91,46092.77,99609.54,224387,372862,926775,37.15,54.68,62.5
BHARTIARTL,1, EQ,837.4,835.85,848.75,3668846,2680296,6874390,30858.19,22487.88,58092.35,2447934,1656315,4835679,66.72,61.8,70.34
BPCL,1, EQ,340.75,339.05,341.15,13209249,5027834,5014866,44465.02,17025.54,17076.01,4991817,1941104,2255334,37.79,38.61,44.97
BRITANNIA,1, EQ,4213.05,4285.35,4362.3,222792,598884,1101544,9341.19,25577.12,47831.41,137316,261742,780632,61.63,43.7,70.87
CIPLA,1, EQ,1101.75,1121.15,1139.65,673339,1899345,2680903,7411.39,21240.87,30408.91,297894,840092,1754165,44.24,44.23,65.43
