SYMBOL,EXPIRY_DT,CLOSE24OCT2022,CLOSE25OCT2022,CLOSE27OCT2022,CLOSE28OCT2022,SETTLE_PR24OCT2022,SETTLE_PR25OCT2022,SETTLE_PR27OCT2022,SETTLE_PR28OCT2022,CONTRACTS24OCT2022,CONTRACTS25OCT2022,CONTRACTS27OCT2022,CONTRACTS28OCT2022,VAL_INLAKH24OCT2022,VAL_INLAKH25OCT2022,VAL_INLAKH27OCT2022,VAL_INLAKH28OCT2022,OPEN_INT24OCT2022,OPEN_INT25OCT2022,OPEN_INT27OCT2022,OPEN_INT28OCT2022,CHG_IN_OI24OCT2022,CHG_IN_OI25OCT2022,CHG_IN_OI27OCT2022,CHG_IN_OI28OCT2022
PIIND,27-Oct-2022,3126.55,3119.35,3199.35,,3126.55,3119.35,3206.3,,46,2176,1706,,359.18,16985.99,13621.14,,679250,270750,58250,,250,-408500,-212500,
POWERGRID,27-Oct-2022,219.35,218.95,223.9,,219.35,218.95,223.9,,873,6231,4115,,5186.93,36719.52,24627.5,,23287500,14193900,8985600,,-197100,-9093600,-5208300,
RELIANCE,27-Oct-2022,2478.6,2443.75,2446.95,,2478.6,2443.75,2451.15,,14810,46133,50696,,91876.05,284378.03,309886.07,,15131000,8632750,818250,,-576000,-6498250,-7814500,
SBICARD,27-Oct-2022,853.0,843.45,855.85,,853.0,843.45,858.15,,551,4173,2205,,3775.41,28196.71,15066.64,,2896800,1284000,590400,,52800,-1612800,-693600,
SBILIFE,27-Oct-2022,1259.55,1252.45,1252.85,,1259.55,1252.45,1252.9,,961,3965,1410,,9033.32,37353.12,13214.83,,2375250,612000,125250,,-132750,-1763250,-486750,
SBIN,27-Oct-2022,571.05,579.3,579.05,,571.05,579.3,579.65,,6221,25682,12857,,53161.56,222755.94,111944.95,,26773500,13854000,9724500,,943500,-12919500,-4129500,
SHREECEM,27-Oct-2022,21040.0,21357.85,21520.75,,21040.0,21357.85,21512.25,,311,6551,3617,,1637.91,34821.92,19381.3,,129075,58000,10600,,-1075,-71075,-47400,
SIEMENS,27-Oct-2022,2813.3,2836.5,2880.95,,2813.3,2836.5,2879.75,,89,2711,1470,,689.35,21120.09,11536.75,,746900,260425,77550,,-9625,-486475,-182875,
SRF,27-Oct-2022,2540.3,2504.7,2503.75,,2540.3,2504.7,2499.45,,896,4593,2844,,8547.99,43348.57,26701.48,,1907625,711750,126375,,-7875,-1195875,-585375,
SUNPHARMA,27-Oct-2022,988.15,989.75,1008.55,,988.15,989.75,1011.65,,966,13016,8643,,6682.22,90072.88,60733.81,,8815100,4437300,3290700,,29400,-4377800,-1146600,
TATACONSUM,27-Oct-2022,770.35,768.85,766.55,,770.35,768.85,770.1,,504,3760,3629,,3499.49,26152.49,25108.81,,3715200,1755900,490500,,-151200,-1959300,-1265400,
TATAMOTORS,27-Oct-2022,401.5,405.7,407.5,,401.5,405.7,407.7,,3664,30543,19417,,20970.49,177612.67,112967.84,,34864050,17033025,2517975,,-1534725,-17831025,-14515050,
TATAPOWER,27-Oct-2022,218.45,220.9,225.9,,218.45,220.9,225.85,,1197,15396,12306,,8846.67,114971.34,92871.06,,65009250,26416125,3246750,,23625,-38593125,-23169375,
TATASTEEL,27-Oct-2022,100.85,101.35,104.15,,100.85,101.35,104.2,,1765,20407,30525,,7579.87,88093.23,134969.59,,131278250,79232750,10659000,,-2949500,-52045500,-68573750,
TCS,27-Oct-2022,3167.95,3168.55,3152.75,,3167.95,3168.55,3157.4,,4241,27825,21104,,20199.08,132279.19,100064.61,,5618700,2528850,279600,,-150900,-3089850,-2249250,
TECHM,27-Oct-2022,1050.7,1082.2,1075.35,,1050.7,1082.2,1075.85,,1552,13899,8753,,9771.76,89461.03,56567.72,,10383000,6125400,2766600,,-20400,-4257600,-3358800,
TITAN,27-Oct-2022,2682.3,2678.4,2697.75,,2682.3,2678.4,2703.75,,1088,5517,5886,,10952.27,55395.32,59933.7,,2337750,910125,241125,,-140625,-1427625,-669000,
TORNTPHARM,27-Oct-2022,1568.85,1582.85,1602.85,,1568.85,1582.85,1599.65,,85,1309,757,,665.69,10330.5,6005.93,,746000,258000,42500,,-9000,-488000,-215500,
ULTRACEMCO,27-Oct-2022,6397.0,6410.85,6434.3,,6397.0,6410.85,6436.75,,1057,7075,7058,,6787.35,45524.75,45238.86,,920900,465500,66200,,-33000,-455400,-399300,
UPL,27-Oct-2022,701.35,694.85,704.25,,701.35,694.85,706.45,,1091,7666,6163,,9978.72,69335.25,56261.75,,11779300,5218200,1202500,,-217100,-6561100,-4015700,
VEDL,27-Oct-2022,280.1,280.75,287.6,,280.1,280.75,288.35,,601,10008,6962,,2610.59,43593.59,31255.29,,14514200,5690050,1477150,,-88350,-8824150,-4212900,
WIPRO,27-Oct-2022,384.45,384.75,381.35,,384.45,384.75,382.65,,2253,17635,14765,,8669.65,67895.52,56581.06,,21157000,10432000,2391000,,-1189000,-10725000,-8041000,
